flight_distance_km,booking_time_days,demand_factor,seat_availability,seasonality_factor,fare
8206,80,1.482760571786507,0.5404045274174742,1.0,358
2768,252,0.8903548969778441,0.6523327518020304,1.2,280
5663,97,0.7392383938120375,0.2168073255890886,1.2,1456
2227,260,0.7406939214068397,0.22754504685865165,0.8,204
2895,260,0.6057379184647169,0.556660439861613,0.8,1248
9887,103,0.7784700573518646,0.8533241945612988,1.2,897
5458,40,1.4963290774834523,0.9081911029660523,1.0,164
5818,273,1.822535917765262,0.2693652540765122,0.8,1463
6936,101,1.7211885283867427,0.6306904816808183,1.2,360
591,359,1.5277014648117262,0.9305837490234163,1.2,1042
6092,308,0.665647795116654,0.5103782035183091,1.0,349
3761,221,0.9337811694439248,0.863652665142695,1.0,1091
6384,308,0.9647103129837035,0.306956523519549,0.8,833
3299,124,0.8749354195964318,0.948315591734239,0.8,61
6478,231,1.2725084895645846,0.8011386540250423,0.8,1477
8592,178,1.303330722319509,0.9530675142295213,1.2,281
3304,63,1.0353289627566653,0.7412937868420053,0.8,1004
7415,116,1.030683738104654,0.4907231455995416,1.2,779
2654,191,1.742833396859122,0.9505449380197779,0.8,1351
9196,62,1.6839392724795283,0.4204534210473428,1.0,1426
2931,256,0.9616937475211185,0.46573801764938605,1.0,1067
8354,7,1.870682665809889,0.7606467344013923,1.2,1048
9962,155,1.929222525503759,0.8122530396203091,1.0,352
5256,92,0.9901138130450613,0.943522787079323,1.2,590
8310,14,1.0316374231895824,0.3638419272449676,1.2,519
4040,229,1.2584512301329382,0.8383984281753791,1.0,862
1228,86,1.9116812188005103,0.7908368427175707,1.2,126
7585,133,1.8144791497134674,0.25103564500287834,1.0,1069
702,183,0.6538519438753847,0.5097785129681656,0.8,73
7110,62,1.0890961149071243,0.4262123656480789,0.8,1088
9262,219,1.3300567846246578,0.44359233948322435,1.0,725
7138,246,1.25469870882731,0.9863575036437606,1.0,574
4688,230,0.790794601905339,0.7142219307839424,1.0,396
406,79,1.788225156752232,0.7741409262347998,1.0,221
5334,149,1.515411174495256,0.9812941098520074,0.8,1400
6177,138,1.7568625622777054,0.501761425966111,1.2,761
7921,314,1.7881464190242082,0.8414721347622447,1.2,538
7235,65,1.6225337804986095,0.5476247706435964,0.8,427
1684,13,1.158815901874576,0.8956269374519839,1.2,1237
8058,213,1.4158201325231368,0.34452603304904256,0.8,421
1063,242,0.7405481091796147,0.9581489416514237,1.2,1049
2990,213,1.5104681262123616,0.3750173667287038,1.0,1026
7608,181,0.7688798836089211,0.46097640558474523,1.0,1497
8955,338,1.5409243857652353,0.8049537872854244,1.0,806
5316,173,0.844397241130953,0.5150041132523253,0.8,526
6219,160,0.67632695022533,0.6865691014131574,0.8,431
1957,164,0.7479267352144361,0.5556588008555428,1.2,204
7774,188,0.5029882028286055,0.7938959496718254,1.2,306
6574,191,1.5781094267802953,0.3826650018948887,1.2,723
7092,308,1.5986015735875687,0.2467663897895016,0.8,117
1878,256,1.2724000248698892,0.439943517978453,1.2,393
3442,183,0.7420442015830755,0.5794469318947442,1.0,1350
4836,117,0.6253315062660346,0.33441604175414286,1.2,722
1259,282,0.5286934496559306,0.48383783172511097,1.0,440
6868,196,0.7486222654478311,0.5199864146348548,0.8,308
3357,34,1.83628330247472,0.24591347495061885,1.0,356
6115,52,0.8623052625525227,0.6666457985473637,1.0,1168
9989,112,1.0314069908258234,0.90747474237703,1.0,999
2893,252,0.6580182267219998,0.32139433036244197,0.8,1019
3827,82,0.8335419571222554,0.6782464107212112,0.8,295
9755,232,1.2788368561703076,0.731791363928677,0.8,782
5650,227,1.4116290246434788,0.5354677443354308,0.8,236
1863,233,0.8680284712493166,0.7608780698914159,1.2,974
9921,221,0.5865982388376758,0.5285852347928097,0.8,834
5792,42,1.086549303691098,0.6037098303819479,1.0,1446
7592,21,0.8513050563895013,0.20588243564354158,0.8,1479
1506,42,0.829330884844703,0.7533760913077512,1.2,457
6976,113,1.939794204070183,0.7290741431557797,1.2,1198
6064,105,1.4244507288885861,0.23072070186107566,1.2,1410
9674,192,1.335317664758144,0.4946000859161065,1.0,390
7726,17,1.1236626552849829,0.983225472633334,0.8,612
9101,120,1.1434165001452163,0.5365892500548934,0.8,1251
5775,129,1.3113575057571212,0.6015563241054733,0.8,700
5730,130,1.5446447105541607,0.9279441265277748,1.0,1001
4613,60,1.553219144272744,0.7738095006926051,1.0,1243
3948,48,0.7575408615581743,0.6656561048993789,1.2,1112
863,29,1.2501691281149405,0.8382437450728581,1.2,118
2198,97,1.117937142551153,0.8914930131647787,0.8,1309
8194,10,1.8057904494040762,0.5655104573898135,1.0,430
1695,242,1.4471283818275646,0.5800866919454684,1.0,106
3504,314,1.2987560996239726,0.5088407485214687,0.8,1350
3963,232,0.6730919632683761,0.9733649120147685,0.8,899
5432,277,1.4084568339851171,0.7577330034322804,1.2,1172
2053,284,0.6758058585203501,0.2665784529664579,1.2,965
6785,203,1.005809863348628,0.8903676986504148,1.2,374
1491,247,0.7142629472214979,0.5844479526690145,0.8,510
3781,290,1.5381104705365534,0.25500312513799,0.8,228
7754,264,0.8093781707542289,0.6397738041306489,1.2,893
7480,214,1.087789059782039,0.5337314231805617,1.2,623
1836,200,1.843512166428168,0.9021995238900999,1.0,168
3896,79,0.8064745750984554,0.3631956828875099,1.0,598
898,343,1.2617075959381687,0.8611716875937463,1.2,695
4937,344,1.128907491749033,0.6461509529483622,1.2,75
1054,173,0.5271860615685946,0.24368824257077526,1.0,1081
8364,69,1.6891371703592193,0.9774762410603877,1.2,1018
6055,87,0.6035688594718995,0.61009219528256,1.0,582
7592,101,1.2113825314654303,0.43270148338526604,1.0,198
6728,8,1.341017442408425,0.5755254735914065,1.0,1098
5449,333,1.4426396849218805,0.8862862268139913,0.8,704
5372,200,1.5329474439618134,0.44392249950805085,0.8,994
1907,87,0.8799085752840726,0.35414111718936025,1.2,604
5991,43,0.5149681649876741,0.3032569975447052,1.0,474
5735,109,1.585165493532368,0.43828751871216903,0.8,342
5131,152,1.3034848990213679,0.8240384696320349,1.2,1258
3710,17,1.7541765548108732,0.5773010921562094,1.2,603
402,133,1.7320825443510415,0.38198528295483203,1.2,480
4418,148,1.7649892516818246,0.33294799968779937,1.2,653
9158,277,1.2276419899693103,0.4661835812083033,1.2,366
4589,232,1.0004425937552985,0.9519394983085672,1.0,447
2527,314,1.687337303887055,0.4744213700720195,1.2,1397
8204,228,1.1769411695438823,0.9904992607637084,1.0,645
3131,139,0.7751632946051518,0.588184364612285,0.8,595
7977,211,1.7824610293422114,0.3433311346321207,1.2,125
397,28,1.823839815158521,0.9129120734348075,0.8,914
7325,51,1.1994646342102553,0.5682842985078616,1.0,965
2130,261,0.6135495909646812,0.7677370748036196,1.0,758
6487,261,1.0817391348753969,0.9869692665673215,0.8,535
9000,350,1.7053064891939052,0.24014028025597922,1.2,1161
9539,352,1.852661042819343,0.27735564783005373,1.2,796
4482,8,0.8052091137463937,0.776365393170205,0.8,1305
2711,320,0.6004604180379073,0.4254600026363776,0.8,1080
859,138,1.816025679699258,0.3474411175600792,0.8,599
3011,38,1.0841074084683129,0.2314895038557836,1.2,1025
7298,111,1.312641446401345,0.21747736958896147,1.2,1125
6746,220,1.9520987180761384,0.8195884824958328,1.2,991
9761,337,0.5998470918713343,0.30754674189564,0.8,968
2186,223,1.4724770111781433,0.5741764927769207,1.2,1469
8538,136,0.6111581338623007,0.6847174521435864,1.0,1294
3111,256,1.0632033926997506,0.542681440455077,0.8,1216
1934,360,1.70572181779017,0.22168532186898648,1.2,412
2043,329,1.1502083491334516,0.826801202070327,0.8,431
8880,49,1.9957735308544255,0.2084105796333228,1.0,1350
3176,292,1.3385889274199032,0.8095119155019872,1.0,320
2159,324,0.9817432289539303,0.9146435950304983,0.8,1087
5959,78,0.8301669888571297,0.5462719368457378,0.8,347
6894,105,1.0257808014292427,0.6284339784782387,1.0,1053
2585,169,1.0587999106393262,0.5815867140941231,0.8,283
4936,217,0.6030705165859415,0.5113668948987511,1.0,624
2002,119,1.0543612991401599,0.9099396282962882,1.0,76
8355,190,1.1963577796088374,0.9151468085359924,1.2,142
8320,255,1.584106628358207,0.46865309171322767,0.8,666
6816,266,1.485094227082412,0.6920558032117584,0.8,358
5734,149,1.5631484828437314,0.9415260497166913,1.2,101
4261,164,0.5125455228152856,0.9696467991530813,1.0,368
462,140,0.8265010993708041,0.607167232337638,0.8,230
6487,347,1.4925264325997847,0.5622598442274614,1.2,1193
9015,258,1.2259840522696206,0.42295545274282065,1.2,924
9408,269,0.5079702135025189,0.967097498552328,0.8,1116
2249,181,1.7067419636477335,0.31425144357829393,1.2,696
5623,160,1.659214359935506,0.66386366083818,1.0,1333
4748,351,1.322628744490344,0.4260402140149111,1.2,246
3308,288,0.5996949886644082,0.4232066322782373,1.0,694
7358,288,1.649772574298877,0.5239748699009508,1.0,1020
7600,226,1.375570381597046,0.9990343486525237,0.8,304
3370,11,1.6729399657369388,0.24397304547185766,1.2,781
2455,10,1.6276204885937606,0.6628334545628252,1.0,385
1354,271,1.7045031079367556,0.2660577264282218,1.0,1039
4699,273,1.2770120996069372,0.3236166639924152,1.2,949
6495,183,0.7104867772902725,0.551650353418319,1.0,1328
6397,153,1.506736210069533,0.608368105077153,1.2,563
1848,315,1.430710677577956,0.4070339266916192,0.8,291
5739,334,1.6133797807986308,0.453165704699533,1.0,198
9837,124,0.754821509076103,0.26957361620474646,1.0,1372
4399,114,0.7924627998504339,0.44257582707540044,1.2,806
8645,278,1.8356142758289926,0.9732467515044354,1.2,669
2757,213,1.624966697678106,0.9557659053379854,1.2,502
5792,172,1.8623427330504843,0.46790263210958805,1.2,1466
298,288,1.638072981745881,0.6566831490230093,1.0,261
2400,174,1.3957329589854528,0.9276763128887555,0.8,717
3161,113,1.4811991055418106,0.20494705811271735,0.8,643
5173,122,1.8336918859100149,0.8485468562700735,0.8,180
4633,32,1.3682101317679107,0.9586956422311352,0.8,1402
3069,222,1.448586986492581,0.2730605874668457,1.2,661
1156,119,0.7347150740054009,0.32915814882633687,1.0,305
8552,39,1.210881830174154,0.9685970422170844,1.0,610
5899,268,1.5745956679371484,0.6300321149122771,1.0,112
7144,233,0.9064140474745481,0.21135730757737897,1.2,1384
4693,18,0.8033812707868024,0.4061055990108233,1.0,456
9692,149,0.9707402123366233,0.5599549394150878,1.2,851
5111,149,0.8622509419892501,0.7543271288198141,1.0,1178
4187,126,0.8223689555545938,0.7865283025094396,0.8,64
9919,302,1.1372762643021304,0.9963372103403649,1.2,308
6215,360,1.8617577708253013,0.43000895950700724,1.0,772
1418,238,1.2605894701080773,0.6305760814947803,0.8,1485
4696,135,0.7818805712229846,0.6266588382876841,0.8,1332
4935,151,0.6154575040713111,0.52451620755779,0.8,663
4755,236,1.544234217706888,0.33532951507393616,1.2,1333
9346,224,1.0741981466545818,0.9819652505470742,1.2,1118
8250,203,1.732746419878039,0.8826537493332689,1.0,862
3646,256,1.4892661529611553,0.5986664226353897,0.8,380
1245,86,1.6943621758120528,0.6825963381472239,1.0,214
7093,150,0.9079190591276731,0.38180884284772987,1.0,1266
1893,235,1.5385383836915871,0.6350296563133975,0.8,1474
3636,345,0.8960929770405781,0.7559761064971806,1.0,1447
8954,22,1.9086027191754373,0.6121336227092711,1.2,1138
6095,348,1.4545614223000616,0.992228136467953,1.0,436
3554,285,0.9867677002630131,0.689073324998181,0.8,1488
425,269,0.9042677934384089,0.4967789700737353,1.2,1103
5093,258,0.7863898776074653,0.8177216220926706,1.2,1339
7222,29,1.5419614383405917,0.3363700092653137,1.0,377
9351,213,0.828073419496891,0.5076126509650132,1.0,1290
5800,283,1.3929548988912335,0.4775671603020687,1.2,369
8196,50,0.8969525403880361,0.5454456760862219,1.0,448
9207,95,1.4929534171908028,0.8254238607429811,0.8,154
7883,88,1.7224095928108087,0.5873384257307259,1.0,745
4842,44,1.6670378647169797,0.8352115602127703,1.0,1066
7879,278,1.6412769963961726,0.6611911225118927,1.2,379
8408,171,0.781583608538378,0.4736555477260443,1.0,709
7539,189,0.632577420476778,0.8479829949467781,1.0,1120
9635,353,1.5484232427310785,0.3906317364424733,1.0,648
2405,184,1.052520820691527,0.3795063838398364,0.8,870
1269,3,1.1485193396050208,0.6036023392438686,1.0,690
3644,191,0.5467236391900866,0.40867939676967113,0.8,363
1260,118,0.8893646739125738,0.20726962796097306,0.8,1220
2527,19,0.5505146058116961,0.7186380218390414,0.8,511
3620,23,1.8187786589018715,0.6088750571779185,0.8,535
501,30,0.8650950248277958,0.556414251594529,1.2,459
806,295,1.336005754359512,0.9735748116946523,0.8,76
3370,108,0.5584689809916956,0.656959347170331,1.0,1102
899,281,1.5002710869584872,0.8907452622315077,0.8,320
5288,128,0.9845410186311407,0.3115601889641282,1.0,735
9531,229,1.8468787804364988,0.6553651705035421,0.8,550
390,111,1.8321772834010537,0.8943837013847225,1.2,1326
1180,136,0.9879359275426216,0.6664846058239184,0.8,434
3175,362,1.8514413435357018,0.7744113425016013,0.8,109
6302,186,1.9942365102481683,0.49763485424976595,1.2,1180
1384,144,1.738123496185922,0.2739596136296533,0.8,269
3527,72,1.7673070216328435,0.5663202361016572,1.0,820
3594,129,0.8735131041636348,0.515583512671086,0.8,613
8519,364,1.3650535982866345,0.893648145903158,0.8,595
2016,261,0.6008838709510518,0.39519624188197783,0.8,145
6054,3,0.6423769052325046,0.9733873820280865,1.2,1038
6909,104,1.998338918049936,0.966510495843597,0.8,1162
769,224,0.9899588741388664,0.39810531445715097,0.8,877
5642,320,1.6222758680732696,0.4784415643818564,1.0,280
2095,362,1.7099975795402247,0.916444592699108,0.8,1017
2933,354,1.7870349065108437,0.973297776716886,0.8,324
4063,10,1.9964424461032348,0.5547512822688352,0.8,295
7655,302,0.8622447278853018,0.45679763651271826,0.8,160
4214,231,0.5605262402895496,0.6208752106012336,1.0,283
1886,219,1.116787276991879,0.7502153650925878,1.0,1351
3209,66,0.6951210047434204,0.41877961229998384,1.2,466
8006,112,0.5336388337430826,0.7891785396952582,0.8,727
354,13,1.040640240712229,0.24132588569171284,1.2,1201
1609,86,1.6756073766128545,0.23943559421153315,1.2,1310
984,234,1.3492710368376062,0.5090301641164362,0.8,852
8296,90,0.969166983815531,0.48277855364857647,1.0,668
7760,314,1.4815130082390795,0.4525065722937218,1.0,1201
7543,54,0.8480272704632161,0.592815810135128,0.8,756
7406,12,0.5215721691081275,0.456586865849257,0.8,900
5796,209,1.646530079654641,0.35380633477447354,1.0,1467
6001,14,1.4356146272960135,0.44757563927088073,0.8,524
3006,121,1.64345393675144,0.979923418248188,0.8,704
737,20,0.5584070250314984,0.5288907335958789,0.8,444
6186,75,1.7556794417459782,0.5557702214866687,1.0,160
2041,243,1.4292893000544549,0.6612359919609121,1.2,139
8916,223,1.3450930260689602,0.9866726147313813,1.2,812
7171,70,1.4369210721717973,0.3932810211486104,0.8,1353
5825,312,1.7966498703025462,0.7450256884259472,1.0,1406
3150,211,1.3804047598383606,0.7727877548333792,0.8,1297
8192,101,1.371425569832269,0.6858595334344528,1.0,1174
4980,186,1.9860187355986487,0.2708626717093153,0.8,181
2568,132,1.635095250602852,0.7414978206620613,1.0,1086
6855,111,1.1634407081767029,0.2512757688289404,1.0,506
8373,132,1.5610955000493916,0.6769141196399175,1.2,147
4695,20,1.0838457075376828,0.7916649417773942,0.8,1193
9363,24,0.8433131937252485,0.36877591249596037,1.2,342
6202,227,1.3952778153316392,0.8732976060342192,1.2,1074
6814,154,1.8922731471709273,0.22428304442640343,1.0,621
9558,293,1.893709280023194,0.8750502909266449,0.8,299
6119,230,1.0128579171582355,0.5682632405142121,1.0,701
1053,310,1.2915161993325426,0.3740703519453156,1.0,198
4346,359,0.8174538478547918,0.30702251599517444,1.0,1468
3969,202,1.9934466642483253,0.962645734065898,0.8,93
774,38,1.9716768618019036,0.2581324700649254,0.8,1117
1348,260,1.474263394561171,0.35927473594874054,1.0,1151
6493,188,1.7066210895162102,0.4782578779464368,0.8,1299
6657,57,1.5726502419255501,0.6961878791688965,1.0,211
7709,20,1.3897373285592023,0.6358408682208787,0.8,302
4977,273,0.5800219954833465,0.3005147939298512,0.8,181
4054,119,1.1821465138289917,0.4317823869905717,1.2,523
2691,71,1.512179453251116,0.3910014168688193,1.0,1182
3324,4,1.516297420825527,0.3708342835922731,1.2,755
5891,221,1.0596839276335754,0.5289154691839897,1.2,1108
3251,14,1.9125379799870459,0.7632251620733255,1.0,324
204,3,0.7510355483551715,0.3739623457737888,1.0,236
5422,216,1.250539169323341,0.49334310376238516,0.8,998
5515,229,1.5363259648262342,0.5127339414729298,1.0,292
5069,336,1.545703708837714,0.9811652235483281,1.2,313
1076,186,1.4729584351532234,0.9637330855032551,1.2,571
9383,55,0.9129323201777902,0.8401100662016607,1.0,1012
7227,254,0.734309853029933,0.39332713665534813,1.2,832
4342,24,1.4539104902400664,0.2544298512733358,0.8,1160
7166,162,1.3989531742091565,0.4535233101764998,1.2,584
7279,158,0.7690340154338615,0.4134356395470647,0.8,259
8187,82,1.557708718355845,0.6047406401171151,1.2,95
6999,159,1.1827579876004846,0.8221823280542344,0.8,75
4665,188,1.5016408874047293,0.8866583511030866,0.8,1339
835,60,1.756050619655226,0.8758912683284068,1.0,224
1893,305,0.7545926428653847,0.48774044897845426,0.8,1384
4952,319,0.528717301995255,0.7497874747685465,1.0,371
8511,211,1.66865387959368,0.45026735801937606,1.2,1208
1030,152,1.414546137728924,0.2487244345881462,1.2,104
5377,109,1.5494593544331825,0.761252212482354,1.2,1229
9761,76,1.7572324624829638,0.20786204205583028,0.8,717
9132,30,1.7042164022367507,0.5273460699667909,1.2,196
8508,314,1.941380220393237,0.4635034154416606,1.2,648
6149,117,1.3039026182781774,0.754702030815082,1.0,69
3038,356,1.232743448989858,0.8129963782083032,1.0,1342
1350,192,1.102830799836095,0.4432757087770271,1.2,382
7760,19,0.7305365642663069,0.8493016115558829,1.2,956
2131,173,1.3589108493230335,0.43513340840394704,0.8,993
9404,228,0.9155187864889682,0.557061087989249,0.8,960
1864,350,1.881961268319463,0.7816148216113072,1.2,450
1281,183,1.3747862064156464,0.754336183379831,1.0,999
712,113,1.3892602707621653,0.98989477784976,1.2,1379
8005,183,1.032386991315515,0.3801288193727455,0.8,77
5437,146,0.5779840279665612,0.7298543308316658,1.0,516
759,319,0.5476156480594829,0.6877455266206219,1.0,1333
3872,116,1.1350027162297962,0.932078763592024,0.8,1031
7604,113,0.6268480671458567,0.3250897133159001,1.2,150
3543,251,1.4102704333102087,0.8014385308695464,1.2,600
4270,251,1.821459508459486,0.6546148930150146,1.2,851
9862,303,1.8243722247780831,0.41973269583032435,0.8,402
780,313,1.4885681151983485,0.5795479313177393,1.0,1373
7204,118,0.8168477472093965,0.46702127765583823,0.8,345
8330,301,1.794495247038308,0.6634507222307687,1.2,402
3347,161,1.8291401529698121,0.9112004886517326,0.8,957
4449,198,0.7949803774294381,0.6554439875297616,1.0,1203
1879,260,1.6061391286560158,0.7053779346612672,0.8,1068
3706,148,0.9297793233906844,0.6149982776917675,1.2,1229
7453,240,1.7039604685293945,0.24093240515638073,1.0,1147
2944,47,1.9958568498554041,0.38628684550087544,0.8,1415
9635,198,0.5450390079940892,0.5936013835456662,0.8,1163
5388,47,1.8460487986863978,0.4481882269957638,1.0,504
2341,78,1.433945800397987,0.3454108782089554,1.0,761
6817,124,1.9600739287472317,0.6033062735347507,1.2,1029
2679,75,1.1975142762896414,0.4582478347582803,1.0,1405
6684,359,1.7710818958570607,0.4064861145387318,1.2,788
7621,137,0.5935911028974159,0.5711883339523047,0.8,1026
4652,90,1.0029185751174436,0.30662740646573855,1.2,1421
6081,325,0.600524806626815,0.9421965864603259,0.8,282
6865,61,1.9630147002186058,0.8941616783353912,1.0,1073
3049,138,1.725460860907755,0.7660964685924283,0.8,151
7590,50,1.7788211318689557,0.284971062070765,1.0,1002
7105,259,1.9069478471508412,0.8207018035757545,0.8,530
2689,107,0.627655229179678,0.8463658624872152,0.8,1287
9407,113,1.07839638877,0.8142116941714701,0.8,157
9740,350,0.6065523335660032,0.29117270969539294,0.8,1238
4811,254,0.8161896523250429,0.7151263656542117,1.2,1022
3039,118,0.8440486655565085,0.867459836599519,0.8,753
8727,198,1.203660816571368,0.6618827209757342,1.2,384
6078,337,0.9028432511804638,0.7171259001824712,1.0,135
9287,51,0.6514671602266416,0.566690783541045,1.0,783
6503,245,0.7512366336411616,0.6229658559072422,1.2,924
1051,35,0.7209133453281364,0.22750148668138018,1.0,1497
1887,302,1.9596151968684474,0.7111704175786278,1.0,413
7033,69,1.6389387603777104,0.26515777031292737,0.8,109
2627,349,1.951642197904343,0.5480116754721787,0.8,1323
9960,320,1.1596107297618627,0.4341240781339263,0.8,609
4200,49,0.9175527224939849,0.6363423601693705,1.2,166
5252,74,1.69743979581378,0.3067330684185657,1.2,923
2938,192,0.9893808770617202,0.7533147215786546,1.0,964
5932,261,0.9490750605580225,0.8360092295427763,0.8,1017
5587,356,0.8487589883117468,0.33068355979452524,1.2,1048
8202,70,0.694518467336353,0.28345046988150574,1.2,93
5736,90,0.884694591525149,0.3164123862298873,0.8,558
4113,260,1.0329796227108314,0.9017020495188015,1.2,1238
1266,126,1.5109913122185956,0.622551409405085,0.8,1441
7923,231,0.5938472633291774,0.5738087968060022,1.0,1365
4580,295,0.8157604094980144,0.28536945528188346,1.0,898
4307,129,1.7135354604375146,0.7196448054055695,1.0,966
5926,280,0.7203828853756562,0.894399673516072,0.8,947
3573,313,1.0139677197837824,0.8625486954587624,1.2,848
9145,100,1.7969883827872102,0.700843767184641,1.0,925
2282,326,0.732387966715164,0.2602229733213389,1.0,335
9167,297,0.6241052534272848,0.28991762174081037,1.0,1277
6948,182,1.2268069926200162,0.23944718968785975,1.2,733
617,174,0.9536292669178046,0.4059833731939755,1.2,868
8506,316,1.3451125467257812,0.30852917372830224,0.8,170
9008,364,1.7057073357252128,0.40803843220194713,1.0,994
4174,188,0.7057227322291147,0.5080464445751693,1.2,1067
3467,57,1.3710486268314275,0.9543862272569086,0.8,1261
1025,31,1.258263140584796,0.6883008478253536,1.0,956
7868,84,0.7161181790197994,0.86797902854637,1.2,62
5945,152,1.4359977282934735,0.7682812005698658,1.2,652
9908,36,0.9104606267911575,0.29000250442130543,0.8,249
612,213,1.2317514778160188,0.788736325099159,1.0,635
7743,364,0.6234084864155929,0.4200791052472996,1.0,497
7787,106,1.1893760858204345,0.7112862775957651,1.2,890
928,342,0.9596952020642304,0.47276957891439086,1.0,1144
7364,220,1.7335718167780314,0.9981378106117273,0.8,639
9067,163,0.5854680904960524,0.4108411835974223,1.2,1203
6188,220,1.1279109123774949,0.4233043766194158,1.2,938
2704,270,1.187647136197157,0.9445378044499186,0.8,92
